#Date,Account,Amount
2019.04.09,1. Family Checking,-25.26
-,Expenditures:General Merchandise,-25.26
2019.10.29,1. Family Checking,-2000
-,Bills:Mortgage,-2000
2019.04.25,1. Family Checking,18.01
-,Income:Returns,18.01
2019.01.29,1. Family Checking,-10
-,Work:Non-Reimbursed Expense,-10
2019.12.27,1. Family Checking,-28.5
-,Automotive:Fuel: Bethaney,-28.5
2019.03.09,1. Family Checking,-7.93
-,Expenditures:General Merchandise,-7.93
2019.06.26,1. Family Checking,-20
-,Automotive:Fuel: Bethaney,-20
2019.10.25,1. Family Checking,-400
-,1. USAA Visa Credit Card,-400
2019.12.04,1. Family Checking,-300
-,Automotive:Service: Nick,-300
2019.10.01,1. Family Checking,-97.67
-,Automotive:Insurance,-97.67
2019.12.16,1. Family Checking,-67.73
-,Expenditures:General Merchandise,-67.73
2019.07.09,1. Family Checking,-77.49
-,Expenditures:General Merchandise,-77.49
2019.05.27,1. Family Checking,-155.23
-,Expenditures:Groceries,-155.23
2019.04.04,1. Family Checking,-120
-,Education:Piano Lessons,-120
2019.01.08,1. Family Checking,-16.74
-,Automotive:Service: Nick,-16.74
2019.11.05,1. Family Checking,-94
-,Education:Fees,-94
2019.12.11,1. Family Checking,-2.39
-,Expenditures:Dining,-2.39
2019.09.11,1. Family Checking,16.57
-,Income:Returns,16.57
2019.10.24,1. Family Checking,-22.51
-,Expenditures:General Merchandise,-22.51
2019.03.12,1. Family Checking,-14.8
-,Expenditures:Groceries,-14.8
2019.03.24,1. Family Checking,-19.27
-,Expenditures:General Merchandise,-19.27
2019.11.07,1. Family Checking,33.64
-,Income:Paycheck,33.64
2019.01.11,1. Family Checking,-4.13
-,Work:Non-Reimbursed Expense,-4.13
2019.07.01,1. Family Checking,-33.29
-,Expenditures:General Merchandise,-33.29
2019.11.24,1. Family Checking,-33.61
-,Expenditures:Pet Care,-33.61
2019.02.19,1. Family Checking,13.68
-,Income:Returns,13.68
2019.04.21,1. Family Checking,-27.84
-,Expenditures:General Merchandise,-27.84
2019.01.14,1. Family Checking,-1.7
-,Expenditures:Dining,-1.7
2019.05.10,1. Family Checking,-18.88
-,Expenditures:General Merchandise,-18.88
2019.12.16,1. Family Checking,-51.94
-,Expenditures:General Merchandise,-51.94
2019.10.19,1. Family Checking,-28.27
-,Expenditures:Groceries,-28.27
2019.06.23,1. Family Checking,-48.02
-,Expenditures:Groceries,-48.02
2019.05.17,1. Family Checking,-5.98
-,Expenditures:Entertainment,-5.98
2019.09.19,1. Family Checking,-10
-,Expenditures:ATM Withdrawal,-10
2019.10.05,1. Family Checking,-22.38
-,Automotive:Fuel: Nick,-22.38
2019.12.16,1. Family Checking,-12.99
-,Bills:Cable,-12.99
2019.12.27,1. Family Checking,-15.26
-,Expenditures:General Merchandise,-15.26
2019.12.14,1. Family Checking,-6.33
-,Expenditures:Dining,-6.33
2019.12.05,1. Family Checking,-23.28
-,Automotive:Fuel: Nick,-23.28
2019.08.26,1. Family Checking,-45.87
-,Expenditures:Groceries,-45.87
2019.07.29,1. Family Checking,-19.25
-,Automotive:Fuel: Bethaney,-19.25
2019.12.19,1. Family Checking,1225.68
-,Income:Paycheck,1225.68
2019.09.27,1. Family Checking,-20.5
-,Automotive:Fuel: Bethaney,-20.5
2019.12.24,1. Family Checking,-47.07
-,Expenditures:Groceries,-47.07
2019.09.30,1. Family Checking,-21.05
-,Expenditures:Pet Care,-21.05
2019.10.17,1. Family Checking,-33.04
-,Expenditures:General Merchandise,-33.04
2019.10.10,1. Family Checking,-33.9
-,Expenditures:General Merchandise,-33.9
2019.09.12,1. Family Checking,-27.47
-,Education:Books,-27.47
2019.04.29,1. Family Checking,-57.88
-,Expenditures:General Merchandise,-57.88
2019.12.09,1. Family Checking,-60.58
-,Expenditures:General Merchandise,-60.58
2019.02.19,1. Family Checking,-32.92
-,Expenditures:General Merchandise,-32.92
2019.06.21,1. Family Checking,-20.01
-,Automotive:Fuel: Bethaney,-20.01
2019.09.23,1. Family Checking,-139.58
-,Expenditures:Groceries,-139.58
2019.09.12,1. Family Checking,-184.23
-,Expenditures:Groceries,-184.23
2019.10.13,1. Family Checking,-252.47
-,Expenditures:Groceries,-252.47
2019.05.06,1. Family Checking,-17.85
-,Expenditures:Groceries,-17.85
2019.03.04,1. Family Checking,-30.8
-,Expenditures:Dining,-30.8
2019.07.29,1. Family Checking,-14.36
-,Expenditures:Entertainment,-14.36
2019.07.18,1. Family Checking,-23.62
-,Expenditures:Dining,-23.62
2019.07.09,1. Family Checking,10.48
-,Income:Returns,10.48
2019.11.09,1. Family Checking,-4.99
